year,district,constituency_id,constituency_number,constituency,candidate,party,votes,vote_share,is_winner,source_url
2011,Kozhikode,26,26,Elathur,A.K. SASEENDRAN,NCP,67143,50.1419,True,https://www.ceo.kerala.gov.in/candidates/loadhtml/26
2011,Kozhikode,26,26,Elathur,SHAIK P HARRIZ,SJ [D],52489,39.1984,False,https://www.ceo.kerala.gov.in/candidates/loadhtml/26
2011,Kozhikode,26,26,Elathur,V V RAJAN,BJP,11901,8.8876,False,https://www.ceo.kerala.gov.in/candidates/loadhtml/26
2011,Kozhikode,26,26,Elathur,A SASINDRAN,IND,1402,1.047,False,https://www.ceo.kerala.gov.in/candidates/loadhtml/26
2011,Kozhikode,26,26,Elathur,RAMESH NANMANDA,BSP,971,0.7251,False,https://www.ceo.kerala.gov.in/candidates/loadhtml/26
